City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,292.28,79,96,6.68,PN,1691119029
1,port-aux-francais,-49.35,70.2167,275.64,92,60,15.97,TF,1691119029
2,acapulco de juarez,16.8634,-99.8901,302.05,79,75,3.09,MX,1691119029
3,wailua homesteads,22.0669,-159.378,301.59,75,40,7.2,US,1691119030
4,krasnogvardeyskoye,45.8456,41.5186,293.27,80,3,1.67,RU,1691119030
5,kudat,6.8837,116.8477,305.11,70,20,2.68,MY,1691119030
6,gardabani,41.4605,45.0928,294.2,86,100,2.44,GE,1691119030
7,constantia,44.1833,28.65,296.53,82,0,3.08,RO,1691118845
8,melo,-32.3667,-54.1833,283.34,77,88,3.88,UY,1691119031
9,puerto natales,-51.7236,-72.4875,275.84,78,91,8.76,CL,1691119031
10,paita,-5.0892,-81.1144,295.04,83,0,6.52,PE,1691119031
11,papatowai,-46.5619,169.4708,281.55,94,100,7.22,NZ,1691119032
12,iskateley,67.6803,53.1512,295.95,60,2,1.97,RU,1691119032
13,college,64.8569,-147.8028,300.14,37,75,2.57,US,1691118838
14,ushuaia,-54.8,-68.3,272.96,100,100,8.75,AR,1691118825
15,kamina,-8.7386,24.9906,287.92,58,2,2.1,CD,1691119033
16,bilibino,68.0546,166.4372,283.78,94,100,0.25,RU,1691119033
17,howrah,22.5892,88.3103,304.15,79,40,4.12,IN,1691119033
18,klyuchi,52.2667,79.1667,298.53,47,7,0.51,RU,1691119034
19,kismayo,-0.3582,42.5454,297.02,83,77,6.79,SO,1691119034
20,blackmans bay,-43.0167,147.3167,288.22,84,100,5.27,AU,1691119034
21,mangalia,43.8,28.5833,296.88,84,0,2.52,RO,1691119034
22,tolanaro,-25.0319,46.9987,292.06,68,95,6.04,MG,1691119035
23,santa flavia,38.085,13.5351,300.05,55,0,0.91,IT,1691119035
24,qamdo,31.1667,97.2333,283.94,68,100,1.49,CN,1691119035
25,sitka,57.0531,-135.33,292.09,68,40,2.06,US,1691119035
26,coquimbo,-29.9533,-71.3436,288.0,82,100,1.54,CL,1691118787
27,geraldton,-28.7667,114.6,288.38,63,0,4.63,AU,1691119036
28,avarua,-21.2078,-159.775,296.18,78,100,3.09,CK,1691119036
29,bethel,41.3712,-73.414,295.24,74,40,3.6,US,1691118851
30,kisanga,-7.4362,37.7034,292.94,80,83,0.59,TZ,1691119037
31,olonkinbyen,70.9221,-8.7187,277.31,94,100,9.64,SJ,1691119037
32,grytviken,-54.2811,-36.5092,267.8,77,34,5.02,GS,1691119037
33,ancud,-41.8697,-73.8203,278.98,77,67,1.62,CL,1691119037
34,uribia,11.7139,-72.266,302.04,67,6,5.58,CO,1691119038
35,hawaiian paradise park,19.5933,-154.9731,300.88,76,40,4.63,US,1691119038
36,fisterra,42.9049,-9.2629,287.45,74,4,7.23,ES,1691119038
37,edinburgh of the seven seas,-37.0676,-12.3116,284.84,76,100,19.09,SH,1691119039
38,mombetsu,44.3525,143.3525,304.16,66,75,6.69,JP,1691119039
39,las khorey,11.1595,48.1967,304.55,47,100,7.52,SO,1691119039
40,new norfolk,-42.7826,147.0587,288.87,90,100,2.03,AU,1691119039
41,margate,51.3813,1.3862,288.64,83,67,0.89,GB,1691119040
42,invercargill,-46.4,168.35,282.05,94,100,4.02,NZ,1691119040
43,chonchi,-42.6128,-73.8092,277.66,92,61,1.21,CL,1691119040
44,ocean shores,46.9737,-124.1563,292.84,86,0,5.14,US,1691119040
45,nemuro,43.3236,145.575,294.08,87,90,8.65,JP,1691119041
46,acarau,-2.8856,-40.12,298.38,85,55,5.9,BR,1691119041
47,ambajogai,18.7333,76.3833,297.64,76,100,8.41,IN,1691119041
48,hamilton,39.1834,-84.5333,297.62,77,0,1.54,US,1691119041
49,montepuez,-13.1256,38.9997,288.76,79,0,2.9,MZ,1691119042
50,rio preto da eva,-2.6994,-59.6997,296.71,84,82,0.94,BR,1691119042
51,west island,-12.1568,96.8225,299.14,78,100,8.23,CC,1691119042
52,ribeira grande,38.5167,-28.7,295.8,86,3,3.13,PT,1691119042
53,mossel bay,-34.1831,22.146,296.11,51,76,5.93,ZA,1691119043
54,shimoda,34.6667,138.95,308.21,69,5,6.35,JP,1691119043
55,khovd,48.0056,91.6419,297.55,28,0,0.75,MN,1691119043
56,jamestown,42.097,-79.2353,294.1,91,0,1.54,US,1691118834
57,panjakent,39.4952,67.6093,300.11,20,0,1.17,TJ,1691119044
58,ryotsu-minato,38.0833,138.4333,304.38,62,1,2.3,JP,1691119044
59,waitangi,-43.9535,-176.5597,285.83,86,27,4.02,NZ,1691119044
60,queenstown,-31.8976,26.8753,280.08,55,6,2.58,ZA,1691119044
61,afaahiti,-17.75,-149.2833,299.08,76,31,4.42,PF,1691119044
62,darwin,-12.4611,130.8418,303.65,46,75,5.81,AU,1691118997
63,tiksi,71.6872,128.8694,277.04,94,100,2.74,RU,1691119045
64,rongelap,11.1635,166.8941,299.49,85,100,4.7,MH,1691119045
65,nagqu,31.5,92.0,282.27,83,100,2.37,CN,1691119045
66,vadso,70.0744,29.7487,290.64,88,0,4.63,NO,1691119046
67,chigorodo,7.6664,-76.6811,298.33,94,86,0.52,CO,1691119046
68,palikir - national government center,6.9248,158.1611,304.56,74,75,2.06,FM,1691119046
69,yellowknife,62.456,-114.3525,293.44,64,75,2.57,CA,1691119047
70,puerto quijarro,-17.7833,-57.7667,297.89,31,0,0.97,BO,1691119047
71,salinopolis,-0.6136,-47.3561,299.09,85,32,4.64,BR,1691119047
72,baki,-7.6128,110.7839,303.06,51,3,5.79,ID,1691119047
73,east london,-33.0153,27.9116,291.67,36,0,3.6,ZA,1691119048
74,eirunepe,-6.6603,-69.8736,298.48,64,61,1.17,BR,1691119048
75,byron bay,-28.65,153.6167,291.32,66,84,3.5,AU,1691118901
76,lau,9.2167,11.2833,295.03,96,90,1.86,NG,1691119048
77,taltal,-25.4,-70.4833,288.83,83,17,0.5,CL,1691119049
78,sao sebastiao do paraiso,-20.9169,-46.9914,288.8,43,0,0.86,BR,1691119044
79,linxia chengguanzhen,35.6003,103.2064,294.51,61,92,2.36,CN,1691119049
80,paciran,-6.8767,112.3761,304.36,64,14,1.01,ID,1691119050
81,laramie,41.3114,-105.5911,290.36,75,40,3.6,US,1691118902
82,ambalangoda,6.2355,80.0538,300.41,82,81,5.29,LK,1691119050
