City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,al kharijah,25.4514,30.5464,303.3,21,3,4.22,EG,1691032155
1,ghat,24.9647,10.1728,303.9,17,0,2.88,LY,1691032155
2,grytviken,-54.2811,-36.5092,272.66,97,100,3.5,GS,1691032156
3,bredasdorp,-34.5322,20.0403,282.78,48,77,2.53,ZA,1691032156
4,port-aux-francais,-49.35,70.2167,276.02,87,100,14.88,TF,1691032156
5,yellowknife,62.456,-114.3525,292.44,55,75,4.12,CA,1691031378
6,freetown,8.484,-13.2299,298.04,89,98,3.95,SL,1691032157
7,brisas barra de suchiate,14.55,-92.2167,297.25,72,96,0.58,MX,1691032157
8,luderitz,-26.6481,15.1594,291.07,28,0,2.22,NA,1691032157
9,sitka,57.0531,-135.33,290.09,77,75,1.54,US,1691032158
10,isafjordur,66.0755,-23.124,282.42,88,14,1.72,IS,1691032158
11,talnakh,69.4865,88.3972,291.6,27,20,1.15,RU,1691032158
12,nuuk,64.1835,-51.7216,280.49,93,100,2.06,GL,1691032158
13,adamstown,-25.066,-130.1015,294.41,74,44,8.96,PN,1691032075
14,keflavik,64.0049,-22.5624,283.39,87,40,4.63,IS,1691032159
15,cabo san lucas,22.8909,-109.9124,306.27,70,20,6.69,MX,1691032087
16,miandrivazo,-19.5167,45.4667,292.06,59,0,2.03,MG,1691032159
17,midvagur,62.0511,-7.1939,283.61,87,100,10.8,FO,1691032160
18,zhigalovo,54.8097,105.1578,298.47,35,100,1.71,RU,1691032160
19,jamestown,42.097,-79.2353,292.99,82,75,2.57,US,1691032140
20,mount isa,-20.7333,139.5,300.02,32,5,6.17,AU,1691032160
21,tura,25.5198,90.2201,299.95,80,100,2.75,IN,1691032161
22,tolanaro,-25.0319,46.9987,291.23,75,100,3.43,MG,1691032161
23,bethel,41.3712,-73.414,293.65,78,0,0.0,US,1691032141
24,wailua homesteads,22.0669,-159.378,301.59,74,20,7.72,US,1691032161
25,puerto natales,-51.7236,-72.4875,276.93,93,100,7.37,CL,1691032161
26,ilulissat,69.2167,-51.1,280.16,87,100,0.51,GL,1691032162
27,nemuro,43.3236,145.575,294.1,83,100,7.77,JP,1691032162
28,hermanus,-34.4187,19.2345,281.93,48,93,4.38,ZA,1691032162
29,somerset east,-32.7217,25.588,283.78,44,0,4.19,ZA,1691032162
30,lompoc,34.6391,-120.4579,290.38,88,40,5.14,US,1691032163
31,kerikeri,-35.2268,173.9474,289.77,56,9,2.24,NZ,1691032163
32,ust-tsilma,65.441,52.1498,293.54,58,8,1.82,RU,1691032163
33,afaahiti,-17.75,-149.2833,299.08,65,5,4.17,PF,1691032163
34,vilyuchinsk,52.9306,158.4028,290.3,86,95,0.55,RU,1691032164
35,tiksi,71.6872,128.8694,279.0,91,100,5.84,RU,1691032164
36,ad darb,17.7229,42.2526,303.28,52,16,1.26,SA,1691032164
37,iqaluit,63.7506,-68.5145,279.0,93,75,1.03,CA,1691032164
38,bethlehem,-1.4558,-48.5044,299.17,89,0,3.09,BR,1691032164
39,puerto ayora,-0.7393,-90.3518,297.34,93,30,1.79,EC,1691032165
40,hawaiian paradise park,19.5933,-154.9731,299.88,68,100,3.09,US,1691032165
41,bilibino,68.0546,166.4372,284.23,93,100,2.75,RU,1691032165
42,albany,42.6001,-73.9662,290.38,80,5,1.49,US,1691032137
43,waitangi,-43.9535,-176.5597,280.83,78,100,2.68,NZ,1691032166
44,hithadhoo,-0.6,73.0833,300.48,74,45,3.07,MV,1691032166
45,nova sintra,14.8667,-24.7167,295.64,83,61,4.43,CV,1691032166
46,alderetes,-26.8167,-65.1333,291.1,77,0,3.09,AR,1691032166
47,alesund,62.4723,6.1549,289.68,89,100,3.6,NO,1691032167
48,qinggang,46.6833,126.0833,294.42,92,100,4.18,CN,1691032167
49,atafu village,-8.5421,-172.5159,301.69,74,85,4.93,TK,1691032167
50,grand falls-windsor,48.9332,-55.6649,287.32,84,100,2.72,CA,1691032167
51,west island,-12.1568,96.8225,298.14,73,75,9.77,CC,1691032168
52,arraial do cabo,-22.9661,-42.0278,293.28,83,0,9.17,BR,1691032165
53,ushuaia,-54.8,-68.3,273.96,86,100,2.57,AR,1691032123
54,papatowai,-46.5619,169.4708,283.32,85,78,4.64,NZ,1691032168
55,invercargill,-46.4,168.35,283.16,96,88,4.92,NZ,1691032128
56,hauterive,46.0901,3.4459,289.57,75,92,3.8,FR,1691032169
57,chonchi,-42.6128,-73.8092,274.33,91,31,0.9,CL,1691032169
58,deming,32.2687,-107.7586,297.09,57,20,6.69,US,1691032169
59,blackmans bay,-43.0167,147.3167,291.33,51,100,4.06,AU,1691032169
60,constantia,44.1833,28.65,292.53,74,0,3.81,RO,1691032170
61,port alfred,-33.5906,26.891,289.28,41,0,4.01,ZA,1691032170
62,ciudad bolivar,8.1222,-63.5497,298.74,83,71,2.74,VE,1691032170
63,kapuskasing,49.4169,-82.4331,289.12,97,35,3.49,CA,1691032171
64,uturoa,-16.7333,-151.4333,299.44,66,7,5.54,PF,1691032171
65,khandyga,62.6667,135.6,292.75,54,75,1.22,RU,1691032171
66,georgetown,5.4112,100.3354,303.14,75,20,1.54,MY,1691031972
67,bessonovka,53.3097,45.0407,292.81,77,95,1.87,RU,1691032172
68,palmer,42.1584,-72.3287,289.8,80,20,2.06,US,1691032172
69,taro,-8.3862,115.28,297.15,58,54,1.31,ID,1691032172
70,aral,40.5156,81.2636,303.45,27,100,2.2,CN,1691032172
71,agios nikolaos,35.1914,25.7133,298.02,64,0,1.4,GR,1691032173
72,longyearbyen,78.2186,15.6401,284.06,71,75,2.06,SJ,1691032173
73,paredon,16.0333,-93.8667,300.1,78,100,1.69,MX,1691032173
74,aasiaat,68.7098,-52.8699,276.42,93,100,1.16,GL,1691032173
75,leer,53.2316,7.461,289.79,96,94,3.88,DE,1691032174
76,edinburgh of the seven seas,-37.0676,-12.3116,286.5,81,100,15.36,SH,1691032174
77,port mathurin,-19.6833,63.4167,296.46,77,7,6.64,MU,1691032174
78,ribeira grande,38.5167,-28.7,296.36,81,100,4.02,PT,1691032174
79,camacupa,-12.0167,17.4833,285.45,38,9,1.61,AO,1691032175
80,revda,56.801,59.9303,290.59,92,97,1.12,RU,1691032175
81,ordu,40.9086,37.6845,290.43,89,9,1.72,TR,1691032175
82,dudinka,69.4058,86.1778,291.83,39,15,7.37,RU,1691032175
83,aginskoye,51.1,114.53,296.75,40,100,7.72,RU,1691032175
